name,email,education,experience_years,current_role,current_company,investment_approach,markets,sectors,skills,source_file
Priya Nakamura,,,9.0,Lead Healthcare Analyst,ICICI Securities,Fundamental,"Apac, Europe, Us","Healthcare, Pharmaceutical",,Priya Nakamura_sellside_healthcare_RLTM.docx
,,"{'degree': 'Chartered Financial Analyst Level 3', 'institution': 'CFA Institute'}, {'degree': 'MBA', 'institution': 'Mumbai Institute of Management'}",0.25,,,Fundamental,Apac,"Renewable Energy, Technology",,Viktor Sharat.docx
Chen Li (Alex),Alex_chen2024@gmail.com,"{'degree': 'Master of Science in Financial Technology', 'institution': 'University of Hong Kong', 'dates': 'Sept.2021 – Jul.2023'}, {'degree': 'Bachelor of Business Administration (Finance)', 'institution': 'University of Hong Kong', 'dates': 'Sept.2017 – Jul.2021'}",4.3,Investment Analyst,Bank of China,"Quantitative, Systematic",Apac,"Healthcare, Technology","Wind Database, Bloomberg Terminal, R, Python, Microsoft Office Suite, Sql",Chen Li (Alex).docx
MARINA SILVA COSTA,marina.costa.finance@gmail.com,"{'degree': 'Master of business administration (MBA)', 'institution': 'MIT SLOAN SCHOOL OF MANAGEMENT', 'location': 'Cambridge, MA, United States', 'dates': 'August/2019 – May/2021'}, {'degree': 'BS in Economics', 'institution': 'FUNDACAO GETULIO VARGAS', 'location': 'Sao Paulo, Brazil', 'dates': '2013 – 2016'}",5.0,Equity Research Analyst,VANGUARD GROUP,Fundamental,"Apac, Europe, Us","Healthcare, Telecom, Consumer Discretionary","Supply Chain Optimization, Investment Recommendations, Financial Modeling, Advanced Excel/Vba, Market Analysis, Digital Transformation, R, Python",MARINA SILVA COSTA.docx
"Michael Rodriguez, CFA",,"{'degree': 'Bachelor of Science in Business', 'institution': 'University of Michigan, Ross School of Business', 'graduation_date': 'May 2017'}",5.5,"Analyst, Consumer Internet & Software",Fidelity Asset Management,Fundamental,Us,Tmt,"Hypothesis Testing, Bloomberg Terminal, S&P Capital Iq, Advanced Financial Modeling, Factset, Excel, Statistical Analysis","Michael Rodriguez, CFA.docx"
"Vikram Shah, CFA",Vshah@gmail.com,"{'degree': 'Bachelor of Science in Business Administration', 'institution': 'Northwestern University - Kellogg School of Management', 'graduation_date': 'May 2014'}",7.5,Investment Analyst,Cinctive Capital Management,Fundamental,Us,"Digital Advertising, Cloud Computing, Technology, Media","Mandarin (Fluent), Microsoft Office, Financial Modeling, Factset, Cantonese (Conversational), Bloomberg",Vikram Shah.docx
Marcus Chen-Rodriguez,rchen@hotmail,"{'degree': 'Bachelor of Arts in Economics', 'institution': 'Harvard University', 'graduation_year': 2013}",10.0,"Healthcare Analyst, Investment Team",Coatue Management,Fundamental,Us,Healthcare,"Healthcare Industry Domain Expertise, Private Transactions, Public Equities, Financial Modeling & Analysis",Marcus Chen-Rodriguez Resume.docx
Omar El-Hassan,o.elhassan15@gmail.com,"{'degree': ""Diplôme d'Ingénieur"", 'institution': 'INSA Lyon', 'duration': 'September 2019 to September 2022'}, {'degree': ""Master's degree"", 'institution': 'Universite Lyon', 'duration': 'September 2021 to September 2022'}, {'degree': 'Preparatory Classes', 'institution': 'École Royale Navale', 'duration': 'September 2017 to July 2019'}",1.5,Quantitative Developer,BNP Paribas CIB,Quantitative,Europe,,"Java, Machine Learning, C#, Stochastic Calculus, Mongodb, Excel, Statistics, Python, C++, Probability Theory, .Net, Sql",Omar El-Hassan 202405.pdf
RYAN PATEL,ryan.patel0403@gmail.com,"{'degree': 'Bachelor of Science', 'major': 'Finance and International Business', 'institution': 'Columbia Business School, Columbia University', 'graduation_date': 'May 2017'}",7.0,"Investment Professional, Generalist – Soft Catalyst & Fundamental Long/Short",Meridian Capital Partners,Fundamental,Us,"Consumer, Healthcare, Technology, Business & Technology Services","Due Diligence, Investment Analysis, Private Equity, M&A Transactions, Financial Modeling, Risk Management, Portfolio Management, Equity Research",RYAN PATEL - Resume.pdf
Dr. Zara Al-Rashid,,,8.0,Lead Analyst – Pharmaceuticals and Healthcare,Meridian Research Partners,Fundamental,Apac,"Pharmaceuticals, Healthcare","Financial Analysis, Cms, Fda, Usrds, Ms Office, Pubmed, German Drg, Factset, Reuters, Medpac, Equity Research, Bloomberg, Who",Zara Al-Rashid.docx
