name,email,education,experience_years,current_role,current_company,investment_approach,markets,sectors,skills,source_file
Marcus Chen-Rodriguez,rchen@hotmail,Bachelor of Arts in Economics at Harvard University,10.0,"Healthcare Analyst, Investment Team",Coatue Management,"long/short, growth, venture",Healthcare,"Life Sciences Tools & Diagnostics, Medtech, Therapeutics & Services, Digital Health, Ai-Enabled Diagnostics","Financial modeling & analysis, healthcare industry domain expertise, public equities, private transactions",Marcus Chen-Rodriguez Resume.docx
Priya Nakamura,,,9.0,Lead Healthcare Analyst,ICICI Securities,,,"Healthcare, Pharmaceutical","financial modeling, competitive analysis, research report preparation, investment analysis, client communication, corporate meetings organization",Priya Nakamura_sellside_healthcare_RLTM.docx
Dr. Zara Al-Rashid,,,8.0,Lead Analyst – Pharmaceuticals and Healthcare,Meridian Research Partners,,Indian Healthcare Sector,"Pharmaceuticals, Healthcare","Equity research, Investment analysis, Financial databases (Bloomberg, Factset, Reuters), Healthcare databases (FDA, MedPAC, CMS, WHO, German DRG, USRDS, PubMed), Analytical skills",Zara Al-Rashid.docx
,,,0.0,,,,"Indian Technology Sector, Indian Renewable Energy","Technology, Renewable Energy","Equity Analysis, Market Analysis, CFA Level 3",Viktor Sharat.docx
Chen Li (Alex),Alex_chen2024@gmail.com,Master of Science in Financial Technology at University of Hong Kong; Bachelor of Business Administration (Finance) at University of Hong Kong,2.0,Investment Analyst,Bank of China,"quantitative analysis, multi-factor quantitative model, automated market surveillance, backtesting and performance attribution","Asian Equity, Greater China","Technology, Healthcare","Python, R, SQL, Microsoft Office Suite, Bloomberg Terminal, WIND Database",Chen Li (Alex).docx
Omar El-Hassan,o.elhassan15@gmail.com,Diplôme d'Ingénieur at INSA Lyon; Master's degree at Universite Lyon; Preparatory Classes at École Royale Navale,1.0,Quantitative Developer,BNP Paribas CIB,,,,"C++, C#, .NET, Python, Java, SQL, MongoDB, Machine Learning, Excel, Stochastic calculus, Probability theory, Statistics",Omar El-Hassan 202405.pdf
"Vikram Shah, CFA",Vshah@gmail.com,Bachelor of Science in Business Administration at Northwestern University - Kellogg School of Management,7.0,Investment Analyst,Cinctive Capital Management,"long/short equity strategy, fundamental research, financial KPI analysis, alternative data tracking, macroeconomic trend analysis","Technology, Media","Cloud Computing, Digital Advertising, E-Commerce, Streaming Services, Enterprise Software, Mobility Platforms, Online Marketplaces, Social Media, Digital Entertainment","Bloomberg, FactSet, Microsoft Office, Financial Modeling, Mandarin (fluent), Cantonese (conversational)",Vikram Shah.docx
MARINA SILVA COSTA,marina.costa.finance@gmail.com,Master of business administration (MBA) at MIT SLOAN SCHOOL OF MANAGEMENT; BS in Economics at FUNDACAO GETULIO VARGAS,5.0,Equity Research Analyst,VANGUARD GROUP,"fundamental research, financial modeling, proprietary studies","Emerging Latam, Emea","Healthcare, Consumer Discretionary, Telecom","Python, R, Advanced Excel/VBA, fluent in Portuguese, fluent in English, conversational Spanish",MARINA SILVA COSTA.docx
"Michael Rodriguez, CFA",,Bachelor of Science in Business at ,6.0,"Analyst, Consumer Internet & Software",Fidelity Asset Management,,"Tmt, Consumer Internet, Software",,"Bloomberg Terminal, Excel, Advanced Financial Modeling, Statistical Analysis, Hypothesis Testing, FactSet, S&P Capital IQ, Series 7, Series 63, Series 87","Michael Rodriguez, CFA.docx"
RYAN PATEL,ryan.patel0403@gmail.com,"Bachelor of Science in Business at Columbia Business School, Columbia University",6.0,"Investment Professional, Generalist – Soft Catalyst & Fundamental Long/Short",Meridian Capital Partners,"Long/Short, Fundamental","Consumer, Technology, Healthcare, Business & Technology Services",,"Financial Modeling, Due Diligence, Portfolio Management, Investment Analysis, Risk Management, Research",RYAN PATEL - Resume.pdf
